Taxa,Identification_notes,C_only,Genus,Family,Taxon_Group,Identified,Morphology,Morph,Secondary_Morphology,Morph2,Symbiosis,Symb,Calcification,Calc,Energetic_Resource,ER,Feeding_Mode,FM,Life_Span,Teixido life span,Growth_rate,GR_unit,GR_Teixido,GR_cat,Max_size,MS_unit,MS_cat,Observation_notes
Leptastrea transversa,"Klunzinger, 1879",,Leptastrea,Faviidae,Cnidaria,yes,Encrusting,Enc,Encrusting,Enc,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,,,10-20 cm,assumed max size category estimated from field survey
Leptoseris mycetoseroides,"Wells, 1954",no,Leptoseris,Agaricidae,Cnidaria,yes,Encrusting Digitate,Enc Dig,Encrusting,Enc,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,75,"cm, length",51-100 cm,
Lithophyllum kotschyanum,"Unger, 1858",,Lithophyllum,Lithophyllaceae,Rhodophyta,yes,Encrusting,Enc,Encrusting,Enc,Asymbiotic,Asym,Non-Articulated Calcification,Non-AC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,"10-20 years, based on Neogoniolithon brassica florida",3.8,mm yr-1,extreme slow (<1 cm/yr),,10,"cm, diameter",10-20 cm,
Lobophora variegata,"(J.V.Lamouroux) Womersley ex E.C.Oliveira, 1977",,Lobophora,Dictyotacea,Phaeophyta,yes,Encrusting,Enc,Encrusting,Enc,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,unreported,3-11 months,,,high (5-10 cm/yr),,14,"cm, length",10-20 cm,
Montipora capitata,"Dana, 1846",yes,Montipora,Acroporidae,Cnidaria,yes,Encrusting Digitate,Enc Dig,Digitate,Dig,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,35.41,mm yr-1,moderate (>1 cm/yr),,,,> 100 cm,max size category estimated from field survey
Montipora efflorescens,"Bernard, 1897",,Montipora,Acroporidae,Cnidaria,yes,Encrusting Digitate,Enc Dig,Encrusting,Enc,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,,,> 100 cm,max size category estimated from field survey
Montipora setosa,"Nemenzo, 1976",,Montipora,Acroporidae,Cnidaria,yes,Encrusting Digitate,Enc Dig,Digitate,Dig,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,,,> 100 cm,max size category estimated from field survey
Montipora verrilli,"Vaughan, 1907",yes,Montipora,Acroporidae,Cnidaria,yes,Encrusting,Enc,Encrusting,Enc,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,17.2,mm yr-1,moderate (>1 cm/yr),,,,> 100 cm,
Padina boryana,"Thivy, 1966",,Padina,Dictyotacea,Phaeophyta,yes,Branched Foliose,Br Fol,Foliose,Fol,Asymbiotic,Asym,Non-Articulated Calcification,Non-AC,Autotrophy,Auto,Photosynthesis,Photo,Annual,"3-11 months, based on P. pavonica",,,"high (5-10 cm/yr), based on P. pavonica",,5,"cm, height",< 10cm,
Pavona cactus,"Forskal, 1775",,Pavona,Agaricidae,Cnidaria,yes,Branched Foliose,Br Fol,Foliose,Fol,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,1000,"cm, diameter",> 100 cm,
