date,pre_post,AT,ET,SpeciesID,BW.g,Temp.c,Salinity,sw_dens,skel_dens,dry_weight.g
4/2/2023,post,HIGH,HIGH,PA7HH,18.5003,29.5,36.4,1.0229468272437268,2.93,28.423894925622854
4/2/2023,post,LOW,LOW,PA9LL,14.2832,29.4,36.4,1.0229807409661895,2.93,21.94512499113572
4/2/2023,post,LOW,LOW,PA5LL,8.2042,29.4,36.4,1.0229807409661895,2.93,12.60517212195276
4/2/2023,post,LOW,LOW,PA1LL,8.7496,30,36.3,1.0227011448321666,2.93,13.441169919720904
4/2/2023,post,LOW,LOW,PA8LL,16.5851,30,36.3,1.0227011448321666,2.93,25.47809582558782
4/2/2023,post,LOW,LOW,PA3LL,18.703,30,36.3,1.0227011448321666,2.93,28.731622132273483
4/2/2023,post,LOW,LOW,PA12LL,13.1639,29.9,36.3,1.0227354078353696,2.93,20.2227982202643
4/2/2023,post,LOW,LOW,PA13LL,8.2904,29.9,36.3,1.0227354078353696,2.93,12.735973865289097
4/2/2023,post,LOW,LOW,PA10LL,14.914,29.8,36.3,1.0227695989204155,2.93,22.911767752477523
4/2/2023,post,LOW,LOW,PA11LL,10.9066,29.7,36.3,1.022803717978698,2.93,16.75566290750721
4/2/2023,post,LOW,LOW,PA2LL,18.0179,29.7,36.3,1.022803717978698,2.93,27.680657464395342
4/2/2023,post,LOW,LOW,PA2LL_2,17.9058,29.6,36.3,1.02283776490173,2.93,27.50893082637865
4/2/2023,post,LOW,HIGH,PA8LH,14.13,29.6,36.3,1.02283776490173,2.93,21.708116508434717
4/2/2023,post,LOW,HIGH,PA11LH,7.6664,29.6,36.3,1.02283776490173,2.93,11.77799748055654
4/2/2023,post,LOW,HIGH,PA12LH,13.17,29.5,36.3,1.022871739581135,2.93,20.233615536442656
4/2/2023,post,LOW,HIGH,PA1LH,13.8701,29.5,36.3,1.022871739581135,2.93,21.309208113288786
4/2/2023,post,LOW,HIGH,PA1LH,13.7556,30.1,36.3,1.0226668100195409,2.93,21.1310264046802
4/2/2023,post,LOW,HIGH,PA7LH,10.187,30.1,36.3,1.0226668100195409,2.93,15.649027740300472
4/2/2023,post,LOW,HIGH,PA6LH,13.7415,30.1,36.3,1.0226668100195409,2.93,21.109366319165503
4/2/2023,post,LOW,HIGH,PA3LH,18.3398,30,36.3,1.0227011448321666,2.93,28.173672864324935
4/2/2023,post,LOW,HIGH,PA2LH,16.8689,29.9,36.3,1.0227354078353696,2.93,25.914536033988135
4/2/2023,post,LOW,HIGH,PA3LH_2,18.2702,29.9,36.3,1.0227354078353696,2.93,28.067257275113967
4/2/2023,post,LOW,LOW,PA4LL,9.0066,30,36.3,1.0227011448321666,2.93,13.835974330136041
4/2/2023,post,LOW,LOW,PA6LL,13.4061,30,36.3,1.0227011448321666,2.93,20.59450352710643
4/2/2023,post,LOW,LOW,PA7LL,8.0277,30,36.3,1.0227011448321666,2.93,12.332184301515898
4/2/2023,post,HIGH,LOW,PA2HL,14.3198,30,36.3,1.0227011448321666,2.93,21.99813305938779
4/2/2023,post,HIGH,LOW,PA9HL,17.1088,29.9,36.3,1.0227354078353696,2.93,26.283077977716164
4/2/2023,post,HIGH,LOW,PA1HL,17.5758,29.9,36.3,1.0227354078353696,2.93,27.000498101605245
4/2/2023,post,HIGH,LOW,PA11HL,11.2173,29.9,36.3,1.0227354078353696,2.93,17.232369926554494
4/2/2023,post,HIGH,HIGH,PA9HH,20.4826,29.8,36.3,1.0227695989204155,2.93,31.46658000314444
4/2/2023,post,HIGH,HIGH,PA2HH,10.1276,29.7,36.3,1.022803717978698,2.93,15.558895683537497
4/2/2023,post,HIGH,HIGH,PA13HH,11.7718,29.7,36.3,1.022803717978698,2.93,18.084858032255095
4/2/2023,post,LOW,HIGH,PA9LH,16.8337,29.7,36.3,1.022803717978698,2.93,25.861386929575136
4/2/2023,post,LOW,HIGH,PA10LH,11.7773,29.6,36.3,1.02283776490173,2.93,18.093630612511546
4/2/2023,post,LOW,HIGH,PA13LH,6.0907,29.6,36.3,1.02283776490173,2.93,9.357227545500589
4/2/2023,post,LOW,HIGH,PA5LH,5.9097,29.6,36.3,1.02283776490173,2.93,9.079154715491622
4/2/2023,post,LOW,HIGH,PA10LH_2,11.8848,29.6,36.3,1.02283776490173,2.93,18.25878436514118
4/3/2023,post,LOW,HIGH,ME5LH,5.6579,29.5,36.2,1.022796656418337,2.93,8.692123498938368
4/3/2023,post,LOW,HIGH,ME10LH,7.1945,29.5,36.3,1.022871739581135,2.93,11.05320781905366
4/3/2023,post,LOW,HIGH,ME12LH,4.2391,29.5,36.3,1.022871739581135,2.93,6.512704602925897
4/3/2023,post,LOW,HIGH,ME11LH,6.954,29.5,36.3,1.022871739581135,2.93,10.683717725164938
4/3/2023,post,LOW,HIGH,ME3LH,5.3827,29.4,36.3,1.022905641908641,2.93,8.2698115764885909
4/3/2023,post,LOW,HIGH,ME13LH,13.0799,29.4,36.3,1.022905641908641,2.93,20.095548412379127
4/3/2023,post,LOW,HIGH,ME6LH,4.0587,29.3,36.3,1.0229394717760714,2.93,6.23577008909894
4/3/2023,post,LOW,HIGH,ME1LH,1.8211,29.3,36.3,1.0229394717760714,2.93,2.797930595820849
4/3/2023,post,LOW,HIGH,ME4LH,3.3946,29.2,36.3,1.0229732290753373,2.93,5.215541885223447
4/3/2023,post,LOW,LOW,ME9LL,7.2966,29.2,36.3,1.0229732290753373,2.93,11.21066485586561
4/3/2023,post,LOW,LOW,ME12LL,3.2491,29.2,36.3,1.0229732290753373,2.93,4.991992322889148
4/3/2023,post,LOW,LOW,ME1LL,1.975,29.1,36.3,1.0230069136984294,2.93,3.0344892394040315
4/3/2023,post,LOW,LOW,ME3LL,5.6939,29.7,36.3,1.022803717978698,2.93,8.747461998152984
4/3/2023,post,LOW,LOW,ME2LL,8.2727,29.7,36.2,1.0227286575072376,2.93,12.70873758755277
4/3/2023,post,LOW,LOW,ME10LL,3.1192,29.6,36.2,1.0227626931011913,2.93,4.791881936737355
4/3/2023,post,LOW,LOW,ME13LL,8.990833333,29.5,36.3,1.022871739581135,2.93,13.812988991052036
4/3/2023,post,LOW,LOW,ME4LL,5.4239,29.4,36.3,1.022905641908641,2.93,8.333109965206395
4/3/2023,post,LOW,LOW,ME8LL,6.7284,29.4,36.3,1.022905641908641,2.93,10.337302879827194
4/3/2023,post,LOW,HIGH,ME2LH,3.1402,29.4,36.3,1.022905641908641,2.93,4.824504860476986
4/3/2023,post,LOW,HIGH,ME7LH,4.0055,29.3,36.3,1.0229394717760714,2.93,6.154033826566586
4/3/2023,post,LOW,LOW,ME11LL,4.3303,29.7,36.2,1.0227286575072376,2.93,6.6523198442322045
4/3/2023,post,LOW,HIGH,ME8LH,4.1612,29.7,36.2,1.0227286575072376,2.93,6.3925440121513635
4/3/2023,post,LOW,HIGH,ME9LH,7.4805,29.6,36.3,1.02283776490173,2.93,11.492396712055617
4/3/2023,post,LOW,LOW,ME6LL,5.1701,29.4,36.2,1.0228305473502899,2.93,7.942866838053486
4/3/2023,post,LOW,LOW,ME7LL,4.4336,29.4,36.2,1.0228305473502899,2.93,6.811375875359071
4/3/2023,post,LOW,LOW,ME5LL,2.5177,29.3,36.3,1.0229394717760714,2.93,3.8681839883027576
4/6/2023,post,LOW,HIGH,PR10LH,14.9949,29.3,36.3,1.0229394717760714,2.93,23.03810306478175
4/6/2023,post,LOW,HIGH,PR4LH,12.2491,29.2,36.3,1.0229732290753373,2.93,18.81980030233033
4/6/2023,post,LOW,HIGH,PR11LH,15.2105,29.2,36.3,1.0229732290753373,2.93,23.369763696810004
4/6/2023,post,LOW,HIGH,PR1LH,14.6415,29.1,36.3,1.0230069136984294,2.93,22.495936303156522
4/6/2023,post,LOW,HIGH,PR7LH,9.9087,30.2,36.2,1.0225573991864318,2.93,15.22063677702122
4/6/2023,post,LOW,HIGH,PR6LH,8.6923,30.2,36.2,1.0225573991864318,2.93,13.35213913600185
4/6/2023,post,LOW,HIGH,PR12LH,9.2045,30.1,36.2,1.0225917945347935,2.93,14.139178453110597
