SampleID,AT,ET,SpeciesID,preVol,postVol,Respo,notes
B5_H,LOW,HIGH,PR12LH,387,412,yes,
B5_L,LOW,LOW,VF12LL,845,860,yes,
B5_L,LOW,LOW,TO13LL,840,860,yes,
B5_L,LOW,LOW,DB11LL,845,860,yes,
B5_L,LOW,LOW,PA12LL,375,400,yes,
B5_L,LOW,LOW,PR10LL,375,400,yes,
B5_L,LOW,LOW,GS2LL,375,387,yes,
B5_L,LOW,LOW,ME10LL,381,393,yes,
B5_L,LOW,LOW,HO7LL,820,850,yes,
B6_H,LOW,HIGH,DB11LH,885,895,yes,
B6_H,LOW,HIGH,VF2LH,880,890,yes,
B6_H,LOW,HIGH,TO9LH,880,895,yes,
B6_H,LOW,HIGH,HO7LH,820,830,yes,
B6_H,LOW,HIGH,GS4LH,418,450,yes,
B6_H,LOW,HIGH,PA12LH,418,450,yes,
B6_H,LOW,HIGH,PR7LH,387,412,yes,
B6_H,LOW,HIGH,ME6LH,381,393,yes,
B6_L,LOW,LOW,DB10LL,920,930,yes,
B6_L,LOW,LOW,VF10LL,915,930,yes,
B6_L,LOW,LOW,TO12LL,910,930,yes,
B6_L,LOW,LOW,PA5LL,381,400,yes,
B6_L,LOW,LOW,ME8LL,387,400,yes,
B6_L,LOW,LOW,PR8LL,387,406,yes,
B6_L,LOW,LOW,GS9LL,381,400,yes,
B6_L,LOW,LOW,HO12LL,825,845,yes,
B7_H,LOW,HIGH,DB12LH,810,825,yes,
B7_H,LOW,HIGH,TO6LH,805,825,yes,
B7_H,LOW,HIGH,ME4LH,375,387,yes,
B7_H,LOW,HIGH,GS2LH,425,450,yes,
B7_H,LOW,HIGH,PR11LH,425,450,yes,
B7_H,LOW,HIGH,PA4LH,425,443,yes,
B7_H,LOW,HIGH,VF1LH,805,810,yes,
B7_H,LOW,HIGH,HO3LH,805,820,yes,
B7_L,LOW,LOW,VF11LL,825,835,yes,
B7_L,LOW,LOW,DB5LL,820,830,yes,
B7_L,LOW,LOW,TO1LL,820,830,yes,
B7_L,LOW,LOW,HO6LL,815,830,yes,
B7_L,LOW,LOW,GS13LL,425,450,yes,
B7_L,LOW,LOW,PR1LL,425,450,yes,
B7_L,LOW,LOW,ME4LL,425,437,yes,
B7_L,LOW,LOW,PA10LL,425,450,yes,
B8_H,LOW,HIGH,VF4LH,225,231,yes,
B8_H,LOW,HIGH,DB7LH,890,910,yes,
B8_H,LOW,HIGH,HO9LH,890,910,yes,
B8_H,LOW,HIGH,TO3HH,890,900,yes,
B8_H,LOW,HIGH,GS5LH,375,400,yes,
B8_H,LOW,HIGH,ME1LH,375,387,yes,
B8_H,LOW,HIGH,PA11LH,375,393,yes,
B8_H,LOW,HIGH,PR8LH,387,412,yes,
B8_L,LOW,LOW,VF8LL,910,925,yes,
B8_L,LOW,LOW,DB12LL,910,920,yes,
B8_L,LOW,LOW,TO5LL,910,920,yes,
B8_L,LOW,LOW,HO9LL,910,920,yes,
B8_L,LOW,LOW,GS4LL,381,400,yes,
B8_L,LOW,LOW,PA3LL,381,412,yes,
B8_L,LOW,LOW,PR2LL,375,400,yes,
B8_L,LOW,LOW,ME13LL,375,400,yes,
B9_H,LOW,HIGH,TO13LH,800,815,yes,
B9_H,LOW,HIGH,VF10LH,795,800,yes,
B9_H,LOW,HIGH,HO13LH,790,800,yes,
B9_H,LOW,HIGH,DB4LH,795,805,yes,
B9_H,LOW,HIGH,GS10LH,412,437,yes,
B9_H,LOW,HIGH,ME10LH,412,431,yes,
B9_H,LOW,HIGH,PA7LH,412,437,yes,
B9_H,LOW,HIGH,PR6LH,387,412,yes,
B9_L,LOW,LOW,GS10LL,362,375,yes,
B9_L,LOW,LOW,VF2LL,830,840,yes,
B9_L,LOW,LOW,DB9LL,830,840,yes,
B9_L,LOW,LOW,TO11LL,820,830,yes,
B9_L,LOW,LOW,ME3LL,368,381,yes,
B9_L,LOW,LOW,HO4LL,820,835,yes,
B9_L,LOW,LOW,PA13LL,368,381,yes,
B9_L,LOW,LOW,PR6LL,412,425,yes,
