SpeciesID,Sp,SpRep,AT,ET,delWeight.g,pWeight,delWeight.g_norm,delTopLength.cm,pLength,delVolume.ml,pVolume
PR6LL,PR,6,LOW,LOW,2.9821689507312055,35.61328594602565,0.085830062383903,NA,NA,NA,NA
PR6LH,PR,6,LOW,HIGH,2.9226166951319623,28.022536139135028,0.06824098449729386,NA,NA,NA,NA
PR7LL,PR,7,LOW,LOW,5.186407597182727,54.020292139098714,0.08373447049750653,NA,NA,NA,NA
PR7LH,PR,7,LOW,HIGH,3.2744581172014957,27.410088283837116,0.04426023590624274,NA,NA,NA,NA
PR8LL,PR,8,LOW,LOW,6.435039961702023,55.20515057309579,0.11385562032265123,NA,NA,NA,NA
PR8LH,PR,8,LOW,HIGH,4.29394749520487,48.47774265850834,0.08825727155505438,NA,NA,NA,NA
PR9LL,PR,9,LOW,LOW,7.325109587896495,49.319459485973844,0.1026764092795167,NA,NA,NA,NA
PR9LH,PR,9,LOW,HIGH,6.0832291249899555,40.59781752468184,0.08654729183890995,NA,NA,NA,NA
PR10LL,PR,10,LOW,LOW,3.4441992027075266,21.92430508055285,0.07799438316006461,NA,NA,NA,NA
PR10LH,PR,10,LOW,HIGH,3.5751277094081786,18.368865212692747,0.06997941033458512,NA,NA,NA,NA
PR11LL,PR,11,LOW,LOW,4.221579156535004,31.391487467347257,0.10749365990359244,NA,NA,NA,NA
PR11LH,PR,11,LOW,HIGH,4.908737475421454,26.589732426327934,0.09631630709967934,NA,NA,NA,NA
PR12LL,PR,12,LOW,LOW,5.462403080414305,31.103669500552115,0.09782250984535987,NA,NA,NA,NA
PR12LH,PR,12,LOW,HIGH,4.128959982130784,41.24745123296631,0.1155871425240732,NA,NA,NA,NA
PA1LH,PA,1,LOW,HIGH,6.668498864756337,45.82651004235634,0.05941370212651229,NA,NA,NA,NA
PA1LL,PA,1,LOW,LOW,5.146647542652893,62.04875107555205,0.06140039644744369,NA,NA,NA,NA
PA2LH,PA,2,LOW,HIGH,6.435836033254766,33.04037760739915,0.05140908111718363,NA,NA,NA,NA
PA2LL,PA,2,LOW,LOW,6.8477540840661355,32.86989796406344,0.05136411643620844,NA,NA,NA,NA
PA3LH,PA,3,LOW,HIGH,7.307580552476789,35.021318046826686,0.04405524797255726,NA,NA,NA,NA
PA3LL,PA,3,LOW,LOW,8.352659856790861,40.98667902653572,0.053088451623924865,NA,NA,NA,NA
PA4LL,PA,4,LOW,LOW,4.2161512461758495,43.82774204242629,0.054219438439686504,NA,NA,NA,NA
PA5LH,PA,5,LOW,HIGH,2.451949689052956,36.998247062994324,0.03845086999313697,NA,NA,NA,NA
PA5LL,PA,5,LOW,LOW,2.82915365112825,28.93973307816018,0.03657883806278767,NA,NA,NA,NA
PA6LH,PA,6,LOW,HIGH,6.8635915224731185,48.17984013103115,0.044774225853442824,NA,NA,NA,NA
PA6LL,PA,6,LOW,LOW,7.679902645871817,59.46682144107911,0.04841340481969003,NA,NA,NA,NA
PA7LH,PA,7,LOW,HIGH,4.142758847610674,36.004363241003915,0.048516737756987074,NA,NA,NA,NA
PA7LL,PA,7,LOW,LOW,3.5316007383255013,40.129165446447075,0.056773510110838234,NA,NA,NA,NA
PA8LH,PA,8,LOW,HIGH,6.864103221149646,46.2415593970751,0.060773974867626875,NA,NA,NA,NA
PA8LL,PA,8,LOW,LOW,5.94458285642806,30.432738165498392,0.052987585117475436,NA,NA,NA,NA
PA9LH,PA,9,LOW,HIGH,3.875663018199706,17.628089181063693,0.04201200609595295,NA,NA,NA,NA
PA9LL,PA,9,LOW,LOW,4.096993185288309,22.954745235274707,0.0436729559091975,NA,NA,NA,NA
PA10LH,PA,10,LOW,HIGH,1.1031860001655467,6.492978996935276,0.019271314273593014,NA,NA,NA,NA
PA10LL,PA,10,LOW,LOW,3.055809094928506,15.389884455499311,0.0346455053030266,NA,NA,NA,NA
PA11LH,PA,11,LOW,HIGH,4.430678409971584,60.30333469128675,0.056401498980493216,NA,NA,NA,NA
PA11LL,PA,11,LOW,LOW,4.794084028331868,40.07902365362642,0.054154274264472335,NA,NA,NA,NA
PA12LH,PA,12,LOW,HIGH,3.644276347544011,21.96757993822147,0.04310958286886017,NA,NA,NA,NA
PA12LL,PA,12,LOW,LOW,2.798399798229152,16.060237664734842,0.029406767994088718,NA,NA,NA,NA
PA13LH,PA,13,LOW,HIGH,3.4994738068794593,59.740882990810206,0.06350823239231666,NA,NA,NA,NA
PA13LL,PA,13,LOW,LOW,3.559172352583605,38.7844539042917,0.053076741353020124,NA,NA,NA,NA
PR13LL,PR,13,LOW,LOW,3.3795923724998005,33.986416678731786,0.07743153751070656,NA,NA,NA,NA
LK10HL,LK,10,HIGH,LOW,1.936351960815884,9.700318631649155,0.027374426539544108,NA,NA,NA,NA
LK11HH,LK,11,HIGH,HIGH,2.4873888780147624,11.604200608271418,0.0421425622130749,NA,NA,NA,NA
LK12HH,LK,12,HIGH,HIGH,2.0529727467803838,12.603867604062321,0.024248015094446674,NA,NA,NA,NA
LK12HL,LK,12,HIGH,LOW,1.4602304280003615,7.5138915794318155,0.03023332777073423,NA,NA,NA,NA
