Serial Number:20555841 --,,,,,,
,,,,,,
"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)",Button Down,Button Up,Host Connect,EOF
2/9/2023 5:18,22.78,0, , , , 
2/9/2023 5:20,22.82,0, , , , 
2/9/2023 5:22,22.82,0, , , , 
2/9/2023 5:24,22.86,0, , , , 
2/9/2023 5:26,22.86,0, , , , 
2/9/2023 5:28,22.86,0, , , , 
2/9/2023 5:30,22.86,0, , , , 
2/9/2023 5:32,22.82,0, , , , 
2/9/2023 5:34,22.82,0, , , , 
2/9/2023 5:36,22.82,0, , , , 
2/9/2023 5:38,22.82,0, , , , 
2/9/2023 5:40,22.82,0, , , , 
2/9/2023 5:42,22.86,0, , , , 
2/9/2023 5:44,22.86,0, , , , 
2/9/2023 5:46,22.82,0, , , , 
2/9/2023 5:48,22.78,0, , , , 
2/9/2023 5:50,22.82,0, , , , 
2/9/2023 5:52,22.86,0, , , , 
2/9/2023 5:54,22.86,0, , , , 
2/9/2023 5:56,22.78,157, , , , 
2/9/2023 5:58,22.82,173, , , , 
2/9/2023 6:00,22.86,178, , , , 
2/9/2023 6:02,22.91,178, , , , 
2/9/2023 6:04,22.95,179, , , , 
2/9/2023 6:06,22.91,178, , , , 
2/9/2023 6:08,22.95,178, , , , 
2/9/2023 6:10,22.86,178, , , , 
2/9/2023 6:12,22.95,178, , , , 
2/9/2023 6:14,23.03,177, , , , 
2/9/2023 6:16,22.95,176, , , , 
2/9/2023 6:18,22.95,177, , , , 
2/9/2023 6:20,22.91,178, , , , 
2/9/2023 6:22,22.99,178, , , , 
2/9/2023 6:24,23.03,178, , , , 
2/9/2023 6:26,22.95,178, , , , 
2/9/2023 6:28,22.91,178, , , , 
2/9/2023 6:30,22.95,179, , , , 
2/9/2023 6:32,22.91,180, , , , 
2/9/2023 6:34,23.03,178, , , , 
2/9/2023 6:36,22.95,178, , , , 
2/9/2023 6:38,22.91,178, , , , 
2/9/2023 6:40,22.99,179, , , , 
2/9/2023 6:42,22.99,193, , , , 
2/9/2023 6:44,23.03,185, , , , 
2/9/2023 6:46,23.03,187, , , , 
2/9/2023 6:48,22.95,182, , , , 
2/9/2023 6:50,22.95,189, , , , 
2/9/2023 6:52,23.03,180, , , , 
2/9/2023 6:54,22.99,179, , , , 
2/9/2023 6:56,22.95,183, , , , 
2/9/2023 6:58,22.95,206, , , , 
2/9/2023 7:00,23.03,204, , , , 
2/9/2023 7:02,22.99,202, , , , 
2/9/2023 7:04,22.95,200, , , , 
2/9/2023 7:06,22.95,201, , , , 
2/9/2023 7:08,22.99,200, , , , 
2/9/2023 7:10,22.91,198, , , , 
2/9/2023 7:12,22.91,195, , , , 
2/9/2023 7:14,22.99,196, , , , 
2/9/2023 7:16,22.95,194, , , , 
2/9/2023 7:18,22.95,192, , , , 
2/9/2023 7:20,22.91,190, , , , 
2/9/2023 7:22,22.95,192, , , , 
2/9/2023 7:24,22.95,192, , , , 
2/9/2023 7:26,22.86,191, , , , 
2/9/2023 7:28,22.91,181, , , , 
2/9/2023 7:30,22.91,182, , , , 
2/9/2023 7:32,22.95,186, , , , 
2/9/2023 7:34,22.91,191, , , , 
2/9/2023 7:36,22.91,192, , , , 
2/9/2023 7:38,22.86,191, , , , 
2/9/2023 7:40,22.95,189, , , , 
2/9/2023 7:42,22.95,191, , , , 
2/9/2023 7:44,22.95,187, , , , 
2/9/2023 7:46,22.91,179, , , , 
2/9/2023 7:48,22.91,190, , , , 
2/9/2023 7:50,22.91,189, , , , 
2/9/2023 7:52,22.91,191, , , , 
2/9/2023 7:54,22.86,191, , , , 
2/9/2023 7:56,22.86,191, , , , 
2/9/2023 7:58,22.86,191, , , , 
2/9/2023 8:00,22.86,190, , , , 
2/9/2023 8:02,22.86,191, , , , 
2/9/2023 8:04,22.82,192, , , , 
2/9/2023 8:06,22.82,190, , , , 
